lat,lon,temperature_2m,relative_humidity_2m,weathercode,wind_speed_10m,rocket,success,payloads,year,month,day,hour
9.0477206,167.7431292,26.4,77,2,33.9,0,0.0,28,2006,3,24,22
9.0477206,167.7431292,27.4,80,2,32.7,0,0.0,28,2007,3,21,1
9.0477206,167.7431292,27.2,79,1,22.0,0,0.0,56,2008,8,3,3
9.0477206,167.7431292,26.9,83,1,20.3,0,1.0,28,2008,9,28,23
9.0477206,167.7431292,27.3,86,3,28.5,0,1.0,28,2009,7,13,3
28.5618571,-80.577366,30.0,75,1,5.1,1,1.0,28,2010,6,4,18
28.5618571,-80.577366,11.4,61,0,7.6,1,1.0,56,2010,12,8,15
28.5618571,-80.577366,22.8,79,0,9.4,1,1.0,28,2012,5,22,7
28.5618571,-80.577366,26.2,79,3,12.4,1,1.0,56,2012,10,8,0
28.5618571,-80.577366,16.4,40,3,15.3,1,1.0,28,2013,3,1,19
34.632093,-120.610829,16.0,64,0,4.7,1,1.0,28,2013,9,29,16
28.5618571,-80.577366,21.5,69,0,8.2,1,1.0,28,2013,12,3,22
28.5618571,-80.577366,22.4,76,51,23.9,1,1.0,28,2014,1,6,18
28.5618571,-80.577366,25.0,80,51,21.6,1,1.0,28,2014,4,18,19
28.5618571,-80.577366,28.4,74,3,3.3,1,1.0,28,2014,7,14,15
28.5618571,-80.577366,25.7,91,3,21.9,1,1.0,28,2014,8,5,8
28.5618571,-80.577366,26.1,88,3,10.8,1,1.0,28,2014,9,7,5
28.5618571,-80.577366,24.1,86,2,14.0,1,1.0,28,2014,9,21,5
28.5618571,-80.577366,12.6,70,2,22.1,1,1.0,28,2015,1,10,9
28.5618571,-80.577366,15.0,65,0,13.9,1,1.0,28,2015,2,11,23
28.5618571,-80.577366,19.9,93,0,10.6,1,1.0,56,2015,3,2,3
28.5618571,-80.577366,26.7,73,2,15.1,1,1.0,28,2015,4,14,20
28.5618571,-80.577366,25.0,72,3,13.3,1,1.0,28,2015,4,27,23
28.5618571,-80.577366,28.4,69,0,10.1,1,0.0,28,2015,6,28,14
28.5618571,-80.577366,22.2,89,51,20.5,1,1.0,28,2015,12,22,1
34.632093,-120.610829,12.3,93,3,5.8,1,1.0,28,2016,1,17,15
28.5618571,-80.577366,17.2,74,0,26.1,1,1.0,28,2016,3,4,23
28.5618571,-80.577366,26.7,47,3,15.7,1,1.0,28,2016,4,8,20
28.5618571,-80.577366,20.4,56,0,19.3,1,1.0,28,2016,5,6,5
28.5618571,-80.577366,26.3,65,1,21.3,1,1.0,28,2016,5,27,21
28.5618571,-80.577366,27.8,81,0,11.0,1,1.0,56,2016,6,15,14
28.5618571,-80.577366,28.1,78,3,18.7,1,1.0,28,2016,7,18,4
28.5618571,-80.577366,27.3,86,3,14.2,1,1.0,28,2016,8,14,5
28.5618571,-80.577366,26.8,89,51,22.5,1,0.0,28,2016,9,1,13
34.632093,-120.610829,10.5,65,0,14.0,1,1.0,28,2017,1,14,17
28.6080585,-80.6039558,20.1,87,1,12.3,1,1.0,28,2017,2,19,14
28.6080585,-80.6039558,9.7,56,0,14.3,1,1.0,28,2017,3,16,6
28.6080585,-80.6039558,25.5,59,0,25.3,1,1.0,28,2017,3,30,22
28.6080585,-80.6039558,23.4,84,1,22.7,1,1.0,28,2017,5,1,11
28.6080585,-80.6039558,25.7,72,0,16.5,1,1.0,28,2017,5,15,23
28.6080585,-80.6039558,25.6,78,3,13.8,1,1.0,28,2017,6,3,21
28.6080585,-80.6039558,29.8,65,3,15.8,1,1.0,28,2017,6,23,19
34.632093,-120.610829,17.0,73,0,20.5,1,1.0,28,2017,6,25,20
28.6080585,-80.6039558,29.1,73,0,10.9,1,1.0,28,2017,7,5,23
28.6080585,-80.6039558,30.7,69,51,4.5,1,1.0,28,2017,8,14,16
34.632093,-120.610829,17.4,79,2,12.6,1,1.0,28,2017,8,24,18
28.6080585,-80.6039558,26.9,90,2,4.3,1,1.0,28,2017,9,7,13
34.632093,-120.610829,15.7,96,0,13.6,1,1.0,28,2017,10,9,12
28.6080585,-80.6039558,26.8,73,0,14.3,1,1.0,28,2017,10,11,22
28.6080585,-80.6039558,17.4,40,0,10.1,1,1.0,28,2017,10,30,19
28.5618571,-80.577366,18.4,65,2,12.1,1,1.0,28,2017,12,15,15
34.632093,-120.610829,11.4,64,1,5.4,1,1.0,28,2017,12,23,1
28.5618571,-80.577366,15.2,68,3,17.3,1,1.0,28,2018,1,8,1
28.5618571,-80.577366,17.1,57,3,14.3,1,1.0,28,2018,1,31,21
28.6080585,-80.6039558,22.8,70,1,14.5,2,1.0,28,2018,2,6,20
34.632093,-120.610829,6.8,92,0,5.9,1,1.0,56,2018,2,22,14
28.5618571,-80.577366,15.0,76,1,10.0,1,1.0,28,2018,3,6,5
34.632093,-120.610829,9.7,90,0,7.1,1,1.0,28,2018,3,30,14
28.5618571,-80.577366,26.3,58,2,12.7,1,1.0,28,2018,4,2,20
28.5618571,-80.577366,24.9,40,0,14.8,1,1.0,28,2018,4,18,22
28.6080585,-80.6039558,29.7,43,3,12.8,1,1.0,28,2018,5,11,20
34.632093,-120.610829,14.0,72,3,15.3,1,1.0,56,2018,5,22,19
28.5618571,-80.577366,25.1,91,3,13.3,1,1.0,28,2018,6,4,4
28.5618571,-80.577366,24.3,96,2,7.1,1,1.0,28,2018,6,29,9
28.5618571,-80.577366,25.2,93,3,10.7,1,1.0,28,2018,7,22,5
34.632093,-120.610829,16.7,81,3,10.8,1,1.0,28,2018,7,25,11
28.5618571,-80.577366,26.3,85,0,10.5,1,1.0,28,2018,8,7,5
28.5618571,-80.577366,23.6,96,51,6.0,1,1.0,28,2018,9,10,4
